DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
02M303,The Facing History School ,59,381,373,377
02M294,HIGH SCHOOL FOR HIST AND COMM ,51,382,364,366
01M450,East Side Community High School ,69,418,431,402
02M418,Millennium High School ,140,512,554,523
03M299,"High School For Arts, Imagination And Inquiry ",57,364,378,357
